Tabata Power;On monte dans le route, on souffle et on y retourne. Très cardio en fait =)\nDepart 19h05
#rep;4;2
Jumping jacks;Pieds joints ,les mains se touchent en haut; puis pieds écartés les mains touchent les cuisses en bas
Chest opener;Coudes au niveau des épaules, main vers le ciel, on ouvre le torse! On monte le genou vers le coude opposé, dynamique
Fente latérale;Jambes écartées, on descend poser la main droite sur le genou droit, au dessus de la cheville droite, puis autre côté
Down-dog spider;Chien tête en bas, on amène le pied droit à côté de la main droite, on revient chien tête en bas, idem côté gauche
BREAK;à partir de maintenant, on se "repose" les 10 premières secondes, et on y va à fond les 20 secondes suivantes. ça va enchaîner donc bien écouter les explications ;)
BREAK;Jogging 10 secondes, 20 secondes à fond les balons !\n\nAre you ready ? =D
#rep;4;2
Burpee/Fente;Debout, Accroupit, Gainage bras tendu, (pompe?), Accroupit, Debout, Fente arrière gauche, Fente arrière droit
Fente alternées sautés;On commence fente arrière gauche, dans un petit saut dynamique on change de jambes.
Fente alternées Jab;On commence fente arrière gauche, le bras droit droit devant. Sans se relever, on change de jambe et de bras
Fente alternées Kick;On commence fente arrière gauche, on pousse pour se relever et avec l'élan on vient donner un coup de talon
BREAK;Position de l'enfant 10 secondes, 20 secondes à fond les balons !\nSur les genoux, c'est cool aussi !
#rep;4;2
Moving pushups;Comme une pompe normale, mais arrivé en haut on ramène les mains ensemble, et on se déplace sur le côté.
Push up pop up;Comme une pompe normale, mais on décolle légèrement les mains en haut du mouvement.
Push up row;Comme une pompe normale, mais on décolle une main du sol jusqu'au niveau des côtes.
Push up row(genoux);Comme une pompe à genoux, mais on décolle une main du sol jusqu'au niveau des côtes.
BREAK;Jogging 10 secondes, 20 secondes à fond les balons ! Explications power jump et variantes sans impact squat croisé.
#rep;4;2
Fast power jump;Départ position squat, on saute tonique et on monte les genoux. Atterrissage en douceur sur les orteils en position squat.
Slow power jump;Départ position squat, on saute tonique et on monte les genoux. Atterrissage en douceur sur les orteils en position squat.
High jump;Départ position squat, on saute le plus haut possible bras tendus. Atterrisage en douceur sur les orteils en position squat.
Squat knee up;Départ squat on se redresse sur une jambe en montant le genou sur l'extérieur
BREAK;C-sit hold 10 secondes, 20 secondes à fond les balons ! Si c'est trop dur => C-sit hold
#rep;4;2
Switch kick abs;Allongé, tête et jambes décollées du sol, on monte la jambe droite et la main gauche vers le ciel, on alterne.
Switch kick abs;Allongé, tête et jambes décollées du sol, on monte la jambe droite et la main gauche vers le ciel, on alterne.
Scissor abs;Allongé sur les coudes, les jambes décollées du sol, mouvements de ciseaux horizontal avec les pieds.
Bateau;Allongé, jambes et mains vers le ciel, on rentre le ventre et on souffle
BREAK;C-sit hold 10 secondes, 20 secondes à fond les balons ! Si c'est trop dur => C-sit hold
#rep;4;2
Tricep dip reach;Assis, on pause les mains derrière les hanches, on lève les fesses on plie les coudes vers l'arrière. On touche la main droite et le pied gauche. On alterne.
Tricep unijambe;Tricep classique, mais avec une jambe vers le ciel.
Tricep rapide;Assis, on pause les mains derrière les hanches, on lève les fesses on plie les coudes vers l'arrière. RAPIDE.
Tricep 4secs;Assis, on pause les mains derrière les hanches, on lève les fesses on plie les coudes vers l'arrière. 4 secondes par répétition.
BREAK;Ultimator, ça c'est\n"pour la route" ;)
Fente alternées Jab;On commence fente arrière gauche, le bras droit droit devant. Sans se relever, on change de jambe et de bras
Push up row;Comme une pompe normale, mais on décolle une main du sol jusqu'au niveau des côtes.
Switch kick abs;Allongé, tête et jambes décollées du sol, on monte la jambe droite et la main gauche vers le ciel, on alterne.
Tricep rapide;Assis, on pause les mains derrière les hanches, on lève les fesses on plie les coudes vers l'arrière. RAPIDE.
Fast power jump 1/2;Départ position squat, on saute tonique et on monte les genoux. Atterrissage en douceur sur les orteils en position squat.
Fast power jump 2/2;Départ position squat, on saute tonique et on monte les genoux. Atterrissage en douceur sur les orteils en position squat.
Etirements;Bravo, cette séance est bien trop dure pour la reprise mais je n'avais pas le temps d'en préparer une autre désolé! :P
Etirements;Merci JC d'avoir participé à l'élaboration de cette séance! à demain 19h05 renforcement musculaire
